,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
2147,5291,3k,pry,#N/A,#N/A,#N/A,8.06,3.39,3.2239999999999998,0.0,0.0,0.0,False,True,False,#N/A,pry,4.117647058823529,0.00010301545869595183,4.473674101394983e-05,3.9806856397949315,23.982742559179727
1399,3427,3k,hurl,#N/A,#N/A,#N/A,8.06,2.75,3.2239999999999998,#N/A,#N/A,#N/A,False,True,False,#N/A,hurl,1.3529411764705883,3.384793642866989e-05,1.4699723238497653e-05,3.9807156768127068,23.982862707250828
894,2218,3k,fig,#N/A,#N/A,#N/A,8.06,2.82,3.2239999999999998,1.0,1.0,2.0,False,True,False,#N/A,fig,1.2156862745098038,3.0414087805471492e-05,1.3208469645322467e-05,3.9807171680663003,23.9828686722652
3005,7406,3k,taunt,#N/A,#N/A,#N/A,8.06,2.96,3.2239999999999998,#N/A,#N/A,#N/A,False,True,False,#N/A,taunt,0.6274509803921569,1.5697593706049803e-05,6.817324818021764e-06,3.9807235592111274,23.98289423684451
2522,6241,3k,shrub,#N/A,#N/A,#N/A,8.06,2.88,3.2239999999999998,0.0,0.0,0.0,False,True,False,#N/A,shrub,0.27450980392156865,6.86769724639679e-06,2.982592775754478e-06,3.9807273939431695,23.98290957577268
2975,6528,3k,smog,3.0,0.6020599913279624,3.378670385207983,10.47,4.11,4.188,1.0,0.0,2.0,True,True,True,23.984681540831932,smog,1.0784313725490196,3.0,0.6020599913279624,3.378670385207983,23.984681540831932
3255,3394,3k,huff,1.0,0.3010299956639812,3.679700380871964,9.28,3.3,3.7119999999999997,13.0,3.0,0.0,True,True,True,23.998801523487856,huff,1.3137254901960784,1.0,0.3010299956639812,3.679700380871964,23.998801523487856
3254,185,3k,barge,1.0,0.3010299956639812,3.679700380871964,9.28,3.37,3.7119999999999997,5.0,6.0,2.0,True,True,True,23.998801523487856,barge,3.8823529411764706,1.0,0.3010299956639812,3.679700380871964,23.998801523487856
387,976,3k,charm,#N/A,#N/A,#N/A,8.09,2.83,3.236,0.0,5.0,7.0,False,True,False,#N/A,charm,15.568627450980392,0.0003894965438313607,0.00016912326538036346,3.980561253270565,24.01224501308226
3078,7640,unl,ting,2.0,0.47712125471966244,3.503609121816283,10.0,3.29,4.0,#N/A,#N/A,#N/A,True,True,True,24.01443648726513,ting,1.2941176470588236,2.0,0.47712125471966244,3.503609121816283,24.01443648726513
2980,700,3k,broad,3.0,0.6020599913279624,3.378670385207983,10.5,3.63,4.2,4.0,11.0,24.0,True,True,True,24.01468154083193,broad,14.72549019607843,3.0,0.6020599913279624,3.378670385207983,24.01468154083193
1404,3438,3k,hut,#N/A,#N/A,#N/A,8.1,2.49,3.24,6.0,23.0,23.0,False,True,False,#N/A,hut,13.215686274509803,0.000330630567433674,0.00014356729842399465,3.9805868092375216,24.022347236950086
307,768,3k,bulge,#N/A,#N/A,#N/A,8.1,2.93,3.24,0.0,1.0,0.0,False,True,False,#N/A,bulge,0.9411764705882353,2.3546390559074706e-05,1.0225947096967614e-05,3.9807201505888483,24.022880602355393
775,1937,lcnl,drug,#N/A,#N/A,#N/A,8.11,2.62,3.2439999999999998,0.0,3.0,4.0,False,True,False,#N/A,drug,45.21568627450981,0.001131207846442214,0.0004909996665864331,3.980239376869359,24.030957507477435
3045,7487,3k,theft,#N/A,#N/A,#N/A,8.11,2.42,3.2439999999999998,0.0,0.0,0.0,False,True,False,#N/A,theft,6.745098039215686,0.00016874913234003538,7.328063415343657e-05,3.980657095901792,24.032628383607168
2561,6337,3k,skid,#N/A,#N/A,#N/A,8.11,1.88,3.2439999999999998,#N/A,#N/A,#N/A,False,True,False,#N/A,skid,2.176470588235294,5.4451028167860254e-05,2.3647137267661406e-05,3.9807067293986775,24.03282691759471
3043,7482,3k,thaw,#N/A,#N/A,#N/A,8.11,2.27,3.2439999999999998,0.0,0.0,2.0,False,True,False,#N/A,thaw,1.588235294117647,3.9734534068438565e-05,1.7256146056693546e-05,3.980713120389889,24.032852481559555
462,1158,lcnl,cleanse,#N/A,#N/A,#N/A,8.11,3.16,3.2439999999999998,#N/A,#N/A,#N/A,False,True,False,#N/A,cleanse,1.4509803921568627,3.630068544524017e-05,1.5764901241498094e-05,3.980714611634704,24.032858446538818
1252,3049,3k,gunk,#N/A,#N/A,#N/A,8.11,5.21,3.2439999999999998,#N/A,#N/A,#N/A,False,True,False,#N/A,gunk,0.47058823529411764,1.1773195279537353e-05,5.113003646147485e-06,3.980725263532299,24.032901054129198
3262,3358,unl,horned,1.0,0.3010299956639812,3.679700380871964,9.32,4.83,3.728,10.0,4.0,2.0,True,True,True,24.038801523487855,horned,0.5294117647058824,1.0,0.3010299956639812,3.679700380871964,24.038801523487855
