,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
1202,2932,3k,grid,#N/A,#N/A,#N/A,11.63,3.99,4.652,0,3,5,FALSE,TRUE,FALSE,#N/A,5.529411765,0.000138335,6.01E-05,3.980670303,27.55268121
700,1752,3k,dire,#N/A,#N/A,#N/A,11.63,2.67,4.652,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,2.196078431,5.49E-05,2.39E-05,3.980706516,27.55282607
1717,4308,3k,meld,#N/A,#N/A,#N/A,11.63,3.39,4.652,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.235294118,5.89E-06,2.56E-06,3.98072782,27.55291128
1582,3977,unl,lieu,#N/A,#N/A,#N/A,11.64613,2.73,4.658452,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,1.117647059,2.80E-05,1.21E-05,3.980718233,27.56900293
3482,8523,3k,yearn,#N/A,#N/A,#N/A,11.65,3.34,4.66,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.960784314,2.40E-05,1.04E-05,3.980719938,27.57287975
552,1391,3k,coy,#N/A,#N/A,#N/A,11.67,2.89,4.668,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,1.725490196,4.32E-05,1.87E-05,3.980711629,27.59284652
3003,7401,unl,tat,#N/A,#N/A,#N/A,11.67,4.03,4.668,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,1.078431373,2.70E-05,1.17E-05,3.980718659,27.59287464
131,335,3k,bile,#N/A,#N/A,#N/A,11.67,2.93,4.668,0,0,0,FALSE,TRUE,FALSE,#N/A,0.784313725,1.96E-05,8.52E-06,3.980721855,27.59288742
2579,6377,lcnl,slag,#N/A,#N/A,#N/A,11.67,3.13,4.668,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.764705882,1.91E-05,8.31E-06,3.980722068,27.59288827
2126,5242,lcnl,primp,#N/A,#N/A,#N/A,11.67,2.4,4.668,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.117647059,2.94E-06,1.28E-06,3.980729098,27.59291639
967,2394,lcnl,flub,#N/A,#N/A,#N/A,11.67,3.18,4.668,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.058823529,1.47E-06,6.39E-07,3.980729737,27.59291895
3494,8574,lcnl,yowl,1,0.301029996,3.679700381,12.88,3.72,5.152,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,27.59880152,#N/A,1,0.301029996,3.679700381,27.59880152
1533,3844,3k,lapse,#N/A,#N/A,#N/A,11.68,2.33,4.672,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,1.37254902,3.43E-05,1.49E-05,3.980715464,27.60286186
373,941,3k,chafe,#N/A,#N/A,#N/A,11.68,2.75,4.672,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,#N/A,0.254901961,6.38E-06,2.77E-06,3.980727607,27.60291043
