,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,score
1407,lcnl,cheers,4,1.386294361,8.487546753,8.587917,3.83,3.4351668,3.0,3.0,4.0,7.678940176
1408,lcnl,chug,7,1.945910149,7.877003467,9.37,3.7,3.748,,,,7.686501734
1409,3k,aim,1,0.0,10.0,6.72,2.11,2.688,0.0,6.0,9.0,7.688
1410,3k,dock,3,1.098612289,8.80140916,8.22,3.87,3.288,31.0,17.0,13.0,7.68870458
1411,3k,frame,2,0.693147181,9.243773377,7.67,2.68,3.068,9.0,17.0,26.0,7.689886689
1412,3k,yelp,2,0.693147181,9.243773377,7.67,2.22,3.068,0.0,3.0,1.0,7.689886689
1413,3k,print,2,0.693147181,9.243773377,7.67,2.99,3.068,4.0,10.0,17.0,7.689886689
1414,3k,chop,1,0.0,10.0,6.74,2.38,2.696,23.0,11.0,11.0,7.696
1415,3k,pause,1,0.0,10.0,6.75,2.0,2.7,0.0,5.0,13.0,7.7
1416,3k,moan,2,0.693147181,9.243773377,7.72,3.69,3.088,1.0,1.0,2.0,7.709886689
1417,lcnl,slime,1,0.0,10.0,6.78,2.37,2.712,0.0,1.0,0.0,7.712
1418,3k,swarm,4,1.386294361,8.487546753,8.68,1.8,3.472,2.0,1.0,1.0,7.715773377
1419,3k,weed,1,0.0,10.0,6.79,3.57,2.716,21.0,8.0,7.0,7.716
1420,3k,dash,2,0.693147181,9.243773377,7.74,2.92,3.096,1.0,6.0,10.0,7.717886689
1421,3k,skill,1,0.0,10.0,6.8,2.76,2.72,9.0,4.0,14.0,7.72
1422,3k,curb,1,0.0,10.0,6.81,2.99,2.724,10.0,10.0,8.0,7.724
1423,3k,deaf,1,0.0,10.0,6.83,1.5,2.732,2.0,8.0,13.0,7.732
1424,lcnl,tongs,2,0.693147181,9.243773377,7.777639,2.55,3.1110556,1.0,0.0,1.0,7.732942289
1425,lcnl,snooze,1,0.0,10.0,6.84,1.68,2.736,,,,7.736
1426,3k,bloom,1,0.0,10.0,6.84,2.09,2.736,5.0,4.0,6.0,7.736
1427,3k,swift,2,0.693147181,9.243773377,7.79,2.44,3.116,0.0,4.0,6.0,7.737886689
1428,3k,brass,5,1.609437912,8.244096157,9.05,3.54,3.62,1.0,8.0,9.0,7.742048079
1429,3k,stroll,2,0.693147181,9.243773377,7.83,1.47,3.132,3.0,4.0,3.0,7.753886689
1430,3k,hive,1,0.0,10.0,6.89,2.56,2.756,4.0,12.0,11.0,7.756
1431,unl,legged,1,0.0,10.0,6.89,2.25,2.756,,,,7.756
1432,3k,youth,1,0.0,10.0,6.89,2.0,2.756,0.0,3.0,10.0,7.756
1433,3k,goal,1,0.0,10.0,6.89,2.14,2.756,10.0,6.0,13.0,7.756
1434,3k,plank,2,0.693147181,9.243773377,7.84,2.81,3.136,1.0,3.0,3.0,7.757886689
