,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3,max tasa,,,,,,,,,
2082,lcnl,eye,23,3.75,1.71,49,118,131,131,FALSE,FALSE,TRUE,3,,,,,
2089,3k,face,61,3.75,2.2,376,435,483,483,FALSE,FALSE,TRUE,3,,,,,
3969,3k,lie,14,3.75,0.91,35,57,55,57,FALSE,TRUE,FALSE,2,,,,,
8618,3k,zoo,25,3.75,1.12,88,40,26,88,TRUE,FALSE,FALSE,1,,,,,
741,3k,brush,29,3.78,1.59,68,39,45,68,TRUE,FALSE,FALSE,1,,,,,
6651,3k,son,18,3.78,1.26,124,144,162,162,FALSE,FALSE,TRUE,3,,,,,
525,3k,boo,4,3.781264,2.29,15,8,0,15,TRUE,FALSE,FALSE,1,,,,,
4450,3k,more,260,3.781264,2.04,902,1159,1474,1474,FALSE,FALSE,TRUE,3,,,,,
759,3k,bug,6,3.79,1.72,107,26,9,107,TRUE,FALSE,FALSE,1,,,,,
2919,3k,green,141,3.79,1.32,523,276,236,523,TRUE,FALSE,FALSE,1,,,,,
3870,3k,laugh,14,3.79,1.51,163,126,78,163,TRUE,FALSE,FALSE,1,,,,,
4010,3k,lip,4,3.79,1.13,4,11,13,13,FALSE,FALSE,TRUE,3,,,,,
5855,lcnl,scared,25,3.79,1.47,141,118,73,141,TRUE,FALSE,FALSE,1,,,,,
7476,3k,thank,76,3.79,1.72,248,115,73,248,TRUE,FALSE,FALSE,1,,,,,
7841,3k,truck,119,3.79,1.47,308,158,85,308,TRUE,FALSE,FALSE,1,,,,,
8113,3k,wall,27,3.79,1.75,109,160,170,170,FALSE,FALSE,TRUE,3,,,,,
8376,3k,wish,84,3.79,0.92,366,200,145,366,TRUE,FALSE,FALSE,1,,,,,
100,3k,aunt,11,3.8,1.61,147,179,144,179,FALSE,TRUE,FALSE,2,,,,,
3178,3k,hear,115,3.8,1.64,482,457,373,482,TRUE,FALSE,FALSE,1,,,,,
4990,3k,pink,31,3.8,1.61,20,43,40,43,FALSE,TRUE,FALSE,2,,,,,
3166,lcnl,he,2627,3.813235,1.41,14660,13284,13114,14660,TRUE,FALSE,FALSE,1,,,,,
8307,3k,who,337,3.813235,1.41,1086,1133,1457,1457,FALSE,FALSE,TRUE,3,,,,,
1756,3k,dirt,24,3.83,1.15,103,81,66,103,TRUE,FALSE,FALSE,1,,,,,
8532,3k,yell,10,3.83,1.5,39,26,18,39,TRUE,FALSE,FALSE,1,,,,,
4720,3k,off,225,3.834549,2.09,862,1001,1023,1023,FALSE,FALSE,TRUE,3,,,,,
487,3k,boat,47,3.84,1.46,379,207,132,379,TRUE,FALSE,FALSE,1,,,,,
4969,3k,pig,57,3.84,2.03,310,97,46,310,TRUE,FALSE,FALSE,1,,,,,
5045,3k,plate,19,3.84,1.26,16,50,25,50,FALSE,TRUE,FALSE,2,,,,,
6765,3k,spill,1,3.84,1.64,5,5,4,5,TRUE,TRUE,FALSE,1,,,,,
6940,3k,stair,3,3.84,1.61,2,2,2,2,TRUE,TRUE,TRUE,1,,,,,
809,3k,bus,96,3.85,1.57,349,228,132,349,TRUE,FALSE,FALSE,1,,,,,
2130,3k,farm,15,3.85,1.5,161,138,122,161,TRUE,FALSE,FALSE,1,,,,,
8246,3k,what,679,3.855863,1.37,4928,3885,3879,4928,TRUE,FALSE,FALSE,1,,,,,
3450,3k,ice,51,3.86,1.06,127,156,160,160,FALSE,FALSE,TRUE,3,,,,,
3695,lcnl,kids,32,3.861149,1.2,211,178,152,211,TRUE,FALSE,FALSE,1,,,,,
3323,3k,home,268,3.86652,1.88,1677,1094,939,1677,TRUE,FALSE,FALSE,1,,,,,
4668,3k,not,830,3.887834,2.22,5662,3814,4116,5662,TRUE,FALSE,FALSE,1,,,,,
288,3k,bell,48,3.89,1.68,248,108,80,248,TRUE,FALSE,FALSE,1,,,,,
1155,3k,clean,41,3.89,1.49,258,163,134,258,TRUE,FALSE,FALSE,1,,,,,
1428,3k,crawl,6,3.89,1.23,17,12,16,17,TRUE,FALSE,FALSE,1,,,,,
2043,3k,egg,38,3.89,1.85,133,90,53,133,TRUE,FALSE,FALSE,1,,,,,
5881,3k,school,127,3.89,1.37,1065,866,777,1065,TRUE,FALSE,FALSE,1,,,,,
6964,3k,star,36,3.89,1.59,85,93,80,93,FALSE,TRUE,FALSE,2,,,,,
7032,3k,stick,37,3.89,1.57,163,128,112,163,TRUE,FALSE,FALSE,1,,,,,
7703,3k,top,104,3.89,1.53,394,368,326,394,TRUE,FALSE,FALSE,1,,,,,
8357,3k,wind,68,3.89,1.37,317,238,246,317,TRUE,FALSE,FALSE,1,,,,,
8420,3k,worm,4,3.89,1.37,40,19,12,40,TRUE,FALSE,FALSE,1,,,,,
34,3k,air,71,3.94,1.55,314,415,516,516,FALSE,FALSE,TRUE,3,,,,,
1384,3k,cow,59,3.94,1.63,154,66,48,154,TRUE,FALSE,FALSE,1,,,,,
2896,3k,grass,66,3.94,1.55,232,186,175,232,TRUE,FALSE,FALSE,1,,,,,
8507,3k,yard,21,3.94,1.7,134,140,105,140,FALSE,TRUE,FALSE,2,,,,,
1298,3k,cold,86,3.95,1.79,394,322,365,394,TRUE,FALSE,FALSE,1,,,,,
4608,3k,nice,85,3.95,1.51,333,232,170,333,TRUE,FALSE,FALSE,1,,,,,
4865,3k,pea,15,3.95,1.68,15,10,6,15,TRUE,FALSE,FALSE,1,,,,,
