,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
7032,3k,stick,37,3.610917913,6.060472672,3.89,1.57,1.556,163,128,112,TRUE,TRUE,TRUE,7.616472672
1234,3k,clout,#N/A,#N/A,#N/A,16.86,2.91,6.744,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1236,3k,clove,#N/A,#N/A,#N/A,10.88,3,4.352,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
5634,3k,road,47,3.850147602,5.799472029,4.55,2.44,1.82,250,279,249,TRUE,TRUE,TRUE,7.619472029
1241,lcnl,cloy,#N/A,#N/A,#N/A,14.5,4.17,5.8,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
5586,3k,ride,49,3.891820298,5.754006934,4.67,2.17,1.868,328,195,172,TRUE,TRUE,TRUE,7.622006934
4772,lcnl,pa,47,3.850147602,5.799472029,4.601853,2.82,1.8407412,30,73,91,TRUE,TRUE,TRUE,7.640213229
2990,3k,ground,52,3.951243719,5.689175721,4.89,2.3,1.956,325,317,335,TRUE,TRUE,TRUE,7.645175721
6964,3k,star,36,3.583518938,6.090365073,3.89,1.59,1.556,85,93,80,TRUE,TRUE,TRUE,7.646365073
1254,lcnl,clunk,#N/A,#N/A,#N/A,8.22,3.52,3.288,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
5857,3k,scarf,69,4.234106505,5.380571177,5.68,2.54,2.272,6,13,12,TRUE,TRUE,TRUE,7.652571177
8275,3k,while,114,4.736198448,4.832786657,7.06362,2.04,2.825448,312,494,567,TRUE,TRUE,TRUE,7.658234657
7289,3k,sweet,45,3.80666249,5.846914477,4.53,2.46,1.812,35,63,64,TRUE,TRUE,TRUE,7.658914477
1265,3k,coarse,#N/A,#N/A,#N/A,9.11,2.68,3.644,1,0,1,FALSE,TRUE,FALSE,
4427,3k,moo,31,3.433987204,6.253504853,3.53,1.87,1.412,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,7.665504853
3316,3k,hold,47,3.850147602,5.799472029,4.67,2.89,1.868,175,214,212,TRUE,TRUE,TRUE,7.667472029
1271,3k,coax,#N/A,#N/A,#N/A,11.47,2.44,4.588,1,0,0,FALSE,TRUE,FALSE,
1273,lcnl,cob,#N/A,#N/A,#N/A,6.520113,2.11,2.6080452,0,3,5,FALSE,TRUE,FALSE,
2014,3k,ear,32,3.465735903,6.218866883,3.63,1.92,1.452,28,74,70,TRUE,TRUE,TRUE,7.670866883
2180,3k,felt,79,4.369447852,5.232913171,6.10449,1.95,2.441796,342,460,500,TRUE,TRUE,TRUE,7.674709171
